"","region","year","Rural_pop"
"221","Africa_Western",2065,323624355.562335
"222","Africa_Western",2070,316502727.863151
"223","Africa_Western",2075,310264415.15427
"224","Africa_Western",2080,301538742.036262
"225","Africa_Western",2085,293814725.711562
"226","Africa_Western",2090,284149231.618069
"227","Africa_Western",2095,275720400.103107
"228","Africa_Western",2100,266002633.630195
"229","Argentina",2020,3579773
"230","Argentina",2025,3451764.41465892
"231","Argentina",2030,3298172.47769491
"232","Argentina",2035,3154478.75012617
"233","Argentina",2040,2992159.54951576
"234","Argentina",2045,2842326.42710701
"235","Argentina",2050,2676508.90259364
"236","Argentina",2055,2528065.51018595
"237","Argentina",2060,2368235.57329632
"238","Argentina",2065,2229687.63572184
"239","Argentina",2070,2084346.66090873
"240","Argentina",2075,1958157.7932333
"241","Argentina",2080,1828413.37635164
"242","Argentina",2085,1718166.0076975
"243","Argentina",2090,1608125.92314377
"244","Argentina",2095,1514413.61748079
"245","Argentina",2100,1421405.66137247
"246","Australia_NZ",2020,4206959
"247","Australia_NZ",2025,4195459.78790349
"248","Australia_NZ",2030,4133558.67399808
"249","Australia_NZ",2035,4069169.10495568
"250","Australia_NZ",2040,3971653.86605141
"251","Australia_NZ",2045,3888496.58301603
"252","Australia_NZ",2050,3776962.34922431
"253","Australia_NZ",2055,3681382.25951534
"254","Australia_NZ",2060,3559030.69198983
"255","Australia_NZ",2065,3447193.94982019
"256","Australia_NZ",2070,3308795.57437753
"257","Australia_NZ",2075,3186102.97065467
"258","Australia_NZ",2080,3042898.5736511
"259","Australia_NZ",2085,2914216.07283696
"260","Australia_NZ",2090,2768104.19629441
"261","Australia_NZ",2095,2633409.78551546
"262","Australia_NZ",2100,2486716.89876951
"263","Brazil",2020,27559886
"264","Brazil",2025,26581005.266933
"265","Brazil",2030,25342895.6102255
"266","Brazil",2035,24131226.0242947
"267","Brazil",2040,22737569.9671901
"268","Brazil",2045,21440367.9845767
"269","Brazil",2050,20004948.4078628
"270","Brazil",2055,18685437.9763366
"271","Brazil",2060,17296194.2505542
"272","Brazil",2065,16063639.274529
"273","Brazil",2070,14801862.2851587
"274","Brazil",2075,13695606.7157889
"275","Brazil",2080,12591540.6139364
"276","Brazil",2085,11638220.7542756
"277","Brazil",2090,10709504.704029
"278","Brazil",2095,9916103.92181499
"279","Brazil",2100,9152391.64478473
"280","Canada",2020,7013300
"281","Canada",2025,6882325.435999
"282","Canada",2030,6684195.59359711
"283","Canada",2035,6491855.10616234
"284","Canada",2040,6257304.12844449
"285","Canada",2045,6058148.66991009
"286","Canada",2050,5830176.84050697
"287","Canada",2055,5639517.33501613
"288","Canada",2060,5420727.35306582
"289","Canada",2065,5228927.4560536
"290","Canada",2070,5005187.17886321
"291","Canada",2075,4811452.23376178
"292","Canada",2080,4590814.08362573
"293","Canada",2085,4394429.18207254
"294","Canada",2090,4175611.11678318
"295","Canada",2095,3974604.1646022
"296","Canada",2100,3754241.59547098
"297","Central America and Caribbean",2020,31356697
"298","Central America and Caribbean",2025,30572202.8241538
"299","Central America and Caribbean",2030,29470569.841859
"300","Central America and Caribbean",2035,28367275.9691207
"301","Central America and Caribbean",2040,27007387.9842853
"302","Central America and Caribbean",2045,25726031.2788577
"303","Central America and Caribbean",2050,24255945.8588056
"304","Central America and Caribbean",2055,22915095.9045978
"305","Central America and Caribbean",2060,21448349.1280117
"306","Central America and Caribbean",2065,20179241.9061883
"307","Central America and Caribbean",2070,18869303.3888101
"308","Central America and Caribbean",2075,17741422.1164132
"309","Central America and Caribbean",2080,16591696.6551809
"310","Central America and Caribbean",2085,15602064.1114472
"311","Central America and Caribbean",2090,14606244.9615119
"312","Central America and Caribbean",2095,13755722.592675
"313","Central America and Caribbean",2100,12913884.8786216
"314","Central Asia",2020,46925918
"315","Central Asia",2025,45191322.5353747
"316","Central Asia",2030,42963852.6497887
"317","Central Asia",2035,40815953.3458797
"318","Central Asia",2040,38435715.7891225
"319","Central Asia",2045,36242915.1928255
"320","Central Asia",2050,33817796.9663343
"321","Central Asia",2055,31608942.3265745
"322","Central Asia",2060,29292375.9756682
"323","Central Asia",2065,27298449.8235228
"324","Central Asia",2070,25285606.1333081
"325","Central Asia",2075,23552090.7629
"326","Central Asia",2080,21814222.503586
"327","Central Asia",2085,20334423.4458664
"328","Central Asia",2090,18896899.6130543
"329","Central Asia",2095,17692853.8541936
"330","Central Asia",2100,16524449.5956488
"331","China",2020,544289492
"332","China",2025,511016837.712528
"333","China",2030,473866933.449997
"334","China",2035,438081552.958416
"335","China",2040,399904966.664307
"336","China",2045,364704688.182271
"337","China",2050,328863528.208513
"338","China",2055,296928311.720318
"339","China",2060,265641430.34867
"340","China",2065,238655042.981158
"341","China",2070,213102378.135485
"342","China",2075,191398097.56954
"343","China",2080,170932545.367991
"344","China",2085,153590847.186909
"345","China",2090,137639481.404502
"346","China",2095,124440269.301427
"347","China",2100,112470261.67837
"348","Colombia",2020,9460370
"349","Colombia",2025,9298239.96337619
"350","Colombia",2030,9030385.11551194
"351","Colombia",2035,8750893.85257318
"352","Colombia",2040,8388416.19332432
"353","Colombia",2045,8045802.97118301
"354","Colombia",2050,7635454.89986695
"355","Colombia",2055,7258131.5155537
"356","Colombia",2060,6840384.40269051
"357","Colombia",2065,6467140.57752652
"358","Colombia",2070,6067968.31467251
"359","Colombia",2075,5718039.77141988
"360","Colombia",2080,5350051.20044238
"361","Colombia",2085,5027144.92390409
"362","Colombia",2090,4699528.21336597
"363","Colombia",2095,4416490.76803684
"364","Colombia",2100,4133115.69548898
"365","EU-12",2020,28149681
"366","EU-12",2025,26151784.7192837
"367","EU-12",2030,24097843.8019793
"368","EU-12",2035,22233240.7660442
"369","EU-12",2040,20376963.2222719
"370","EU-12",2045,18779561.4391694
"371","EU-12",2050,17214683.5407764
"372","EU-12",2055,15866475.5186228
"373","EU-12",2060,14522950.297867
"374","EU-12",2065,13340905.3066445
"375","EU-12",2070,12165269.8665245
"376","EU-12",2075,11161196.6686572
"377","EU-12",2080,10205195.1235487
"378","EU-12",2085,9413189.65322828
"379","EU-12",2090,8669851.75993363
"380","EU-12",2095,8051678.8042525
"381","EU-12",2100,7461589.07981175
"382","EU-15",2020,84429392
"383","EU-15",2025,80140055.6792136
"384","EU-15",2030,75584178.6062144
"385","EU-15",2035,71543611.8779147
"386","EU-15",2040,67312126.9533305
"387","EU-15",2045,63618733.9334936
"388","EU-15",2050,59723027.4037056
"389","EU-15",2055,56342238.2617177
"390","EU-15",2060,52835046.8884781
"391","EU-15",2065,49814603.3322199
"392","EU-15",2070,46720553.751579
"393","EU-15",2075,44121400.7340293
"394","EU-15",2080,41474675.4800069
"395","EU-15",2085,39230566.7847998
"396","EU-15",2090,36921658.6630662
"397","EU-15",2095,34921737.8758128
"398","EU-15",2100,32854476.9513692
"399","Europe_Eastern",2020,16843100
"400","Europe_Eastern",2025,15360155.8369275
"401","Europe_Eastern",2030,13965163.6435055
"402","Europe_Eastern",2035,12788311.6459636
"403","Europe_Eastern",2040,11683914.8542924
"404","Europe_Eastern",2045,10754167.6218565
"405","Europe_Eastern",2050,9856880.42071096
"406","Europe_Eastern",2055,9103662.2582359
"407","Europe_Eastern",2060,8378172.14334375
"408","Europe_Eastern",2065,7755455.34407174
"409","Europe_Eastern",2070,7140008.04401819
"410","Europe_Eastern",2075,6614643.31885211
"411","Europe_Eastern",2080,6097576.04533987
"412","Europe_Eastern",2085,5657728.0217769
"413","Europe_Eastern",2090,5230895.82075172
"414","Europe_Eastern",2095,4867600.06357576
"415","Europe_Eastern",2100,4512146.33728582
"416","Europe_Non_EU",2020,28656525
"417","Europe_Non_EU",2025,27727324.1257052
"418","Europe_Non_EU",2030,26558075.9417934
"419","Europe_Non_EU",2035,25432147.5265227
"420","Europe_Non_EU",2040,24119515.1705786
"421","Europe_Non_EU",2045,22906012.3595112
"422","Europe_Non_EU",2050,21553239.7316523
"423","Europe_Non_EU",2055,20327931.9233629
"424","Europe_Non_EU",2060,19009486.2356493
"425","Europe_Non_EU",2065,17847544.9012694
"426","Europe_Non_EU",2070,16630217.4453929
"427","Europe_Non_EU",2075,15563395.7737742
"428","Europe_Non_EU",2080,14470285.8052531
"429","Europe_Non_EU",2085,13525097.5663111
"430","Europe_Non_EU",2090,12590366.4506678
"431","Europe_Non_EU",2095,11792985.1513836
"432","Europe_Non_EU",2100,11006564.7686703
"433","European Free Trade Association",2020,3224706
"434","European Free Trade Association",2025,3125448.19191482
"435","European Free Trade Association",2030,3009635.22851793
"436","European Free Trade Association",2035,2903223.25486799
"437","European Free Trade Association",2040,2778615.75589982
"438","European Free Trade Association",2045,2670216.28302919
"439","European Free Trade Association",2050,2549953.09469073
"440","European Free Trade Association",2055,2447866.55508142
"441","European Free Trade Association",2060,2334421.78862296
"442","European Free Trade Association",2065,2234402.27223312
"443","European Free Trade Association",2070,2123129.90019564
"444","European Free Trade Association",2075,2027755.12497851
"445","European Free Trade Association",2080,1925182.02141689
"446","European Free Trade Association",2085,1836821.5747801
"447","European Free Trade Association",2090,1740715.7485445
"448","European Free Trade Association",2095,1654826.32069135
"449","European Free Trade Association",2100,1562809.96569616
"450","India",2020,908684959
"451","India",2025,894585023.444277
"452","India",2030,870296480.914353
"453","India",2035,846552463.192276
"454","India",2040,815056246.803289
"455","India",2045,785512851.853766
"456","India",2050,748798672.99513
"457","India",2055,714327961.82876
"458","India",2060,673705022.545149
"459","India",2065,636314184.678832
"460","India",2070,595636051.447867
"461","India",2075,559199332.300855
"462","India",2080,520666574.933989
"463","India",2085,486271356.997775
"464","India",2090,451229297.297449
"465","India",2095,420311234.637719
"466","India",2100,389767232.536458
"467","Indonesia",2020,117874897
"468","Indonesia",2025,113855674.267543
"469","Indonesia",2030,108652132.391372
"470","Indonesia",2035,103540979.450398
"471","Indonesia",2040,97553848.5129845
"472","Indonesia",2045,91840723.4204142
"473","Indonesia",2050,85438229.500311
"474","Indonesia",2055,79610878.528052
"475","Indonesia",2060,73468351.0871401
"476","Indonesia",2065,68006122.1002093
"477","Indonesia",2070,62455310.2766981
"478","Indonesia",2075,57623522.075756
"479","Indonesia",2080,52849401.4670827
"480","Indonesia",2085,48747769.1794968
"481","Indonesia",2090,44763659.2076709
"482","Indonesia",2095,41349162.3522374
"483","Indonesia",2100,38064295.5189752
"484","Japan",2020,10376129
"485","Japan",2025,9547707.51881132
"486","Japan",2030,8705983.70581495
"487","Japan",2035,7953990.80814237
"488","Japan",2040,7216702.85714679
"489","Japan",2045,6575948.32052734
"490","Japan",2050,5956800.34645845
"491","Japan",2055,5430771.42967839
"492","Japan",2060,4924538.86533883
"493","Japan",2065,4486533.34940858
"494","Japan",2070,4060518.82406798
"495","Japan",2075,3698554.02248557
"496","Japan",2080,3355264.64941106
"497","Japan",2085,3059826.9580281
"498","Japan",2090,2778908.14072533
"499","Japan",2095,2540006.92575222
"500","Japan",2100,2314151.57467897
"501","Mexico",2020,24278613
"502","Mexico",2025,23709580.8203801
"503","Mexico",2030,22883443.1467924
"504","Mexico",2035,22044555.695236
"505","Mexico",2040,21002784.2057011
"506","Mexico",2045,20014195.5145395
"507","Mexico",2050,18878250.4635586
"508","Mexico",2055,17839942.1563074
"509","Mexico",2060,16696935.8602753
"510","Mexico",2065,15713253.6007314
"511","Mexico",2070,14711672.4525702
"512","Mexico",2075,13863458.5941438
"513","Mexico",2080,12995439.9977434
"514","Mexico",2085,12250912.2993231
"515","Mexico",2090,11495285.3873846
"516","Mexico",2095,10856726.9988102
"517","Mexico",2100,10224754.5546108
"518","Middle East",2020,73766751
"519","Middle East",2025,74686345.2905855
"520","Middle East",2030,74550454.1311701
"521","Middle East",2035,74240415.7842554
"522","Middle East",2040,73097604.3619246
"523","Middle East",2045,71871064.0696578
"524","Middle East",2050,69797431.0750546
"525","Middle East",2055,67771625.0009899
"526","Middle East",2060,65071439.4436723
"527","Middle East",2065,62582179.0048287
"528","Middle East",2070,59630376.406697
"529","Middle East",2075,56973233.2259337
"530","Middle East",2080,54007512.5507949
"531","Middle East",2085,51401154.5835292
"532","Middle East",2090,48637484.8472762
"533","Middle East",2095,46253396.5949618
"534","Middle East",2100,43780050.7281812
"535","Pakistan",2020,142759072
"536","Pakistan",2025,144275252.713443
"537","Pakistan",2030,143528338.941369
"538","Pakistan",2035,142312022.753436
"539","Pakistan",2040,139576403.9976
"540","Pakistan",2045,136951025.351202
"541","Pakistan",2050,132901662.021575
"542","Pakistan",2055,128853816.712755
"543","Pakistan",2060,123473529.27563
"544","Pakistan",2065,118560413.823437
"545","Pakistan",2070,112861084.913109
"546","Pakistan",2075,107915853.157343
"547","Pakistan",2080,102452024.532862
"548","Pakistan",2085,97729842.4761308
"549","Pakistan",2090,92600450.9813486
"550","Pakistan",2095,88133636.7994924
"551","Pakistan",2100,83469536.0192817
"552","Russia",2020,36372705
"553","Russia",2025,33749800.3590949
"554","Russia",2030,31113426.9638475
"555","Russia",2035,28849580.4757004
"556","Russia",2040,26705493.2507254
"557","Russia",2045,24897539.775493
"558","Russia",2050,23108407.307856
"559","Russia",2055,21584342.6444317
"560","Russia",2060,20067990.846607
"561","Russia",2065,18767142.304448
"562","Russia",2070,17461760.9522386
"563","Russia",2075,16351852.3817241
"564","Russia",2080,15230699.9511849
"565","Russia",2085,14269181.5546084
"566","Russia",2090,13311396.8308162
"567","Russia",2095,12490878.2009523
"568","Russia",2100,11669325.8725681
"569","South Africa",2020,19196477
"570","South Africa",2025,18616714.296514
"571","South Africa",2030,17849792.5492689
"572","South Africa",2035,17098513.4203414
"573","South Africa",2040,16232707.2038088
"574","South Africa",2045,15442044.7763722
"575","South Africa",2050,14570891.6759039
"576","South Africa",2055,13799858.5493318
"577","South Africa",2060,12976410.845517
"578","South Africa",2065,12245110.0307431
"579","South Africa",2070,11457611.866539
"580","South Africa",2075,10758458.0337233
"581","South Africa",2080,10024797.5575797
"582","South Africa",2085,9388907.74146719
"583","South Africa",2090,8744575.47537168
"584","South Africa",2095,8180113.51113813
"585","South Africa",2100,7610122.67525419
"586","South America_Northern",2020,4128527
"587","South America_Northern",2025,4081118.40085867
"588","South America_Northern",2030,3986545.13038223
"589","South America_Northern",2035,3882819.62124857
"590","South America_Northern",2040,3736889.33258781
"591","South America_Northern",2045,3595366.39028319
"592","South America_Northern",2050,3421883.91534388
"593","South America_Northern",2055,3262037.5130583
"594","South America_Northern",2060,3080460.8902194
"595","South America_Northern",2065,2916513.22673432
"596","South America_Northern",2070,2736262.99086573
"597","South America_Northern",2075,2574886.51824344
"598","South America_Northern",2080,2405899.58640141
"599","South America_Northern",2085,2257486.74968967
"600","South America_Northern",2090,2105519.83664754
"601","South America_Northern",2095,1972456.18909237
"602","South America_Northern",2100,1838986.14931049
"603","South America_Southern",2020,22122510
"604","South America_Southern",2025,21504620.1079952
"605","South America_Southern",2030,20666435.5362948
"606","South America_Southern",2035,19826453.3555082
"607","South America_Southern",2040,18815533.6892052
"608","South America_Southern",2045,17859814.9551977
"609","South America_Southern",2050,16777791.1891954
"610","South America_Southern",2055,15790454.467058
"611","South America_Southern",2060,14727328.7303135
"612","South America_Southern",2065,13804219.2030173
"613","South America_Southern",2070,12858509.7210523
"614","South America_Southern",2075,12044552.466652
"615","South America_Southern",2080,11217100.8076229
"616","South America_Southern",2085,10504278.0530078
"617","South America_Southern",2090,9792039.34374988
"618","South America_Southern",2095,9185359.04501667
"619","South America_Southern",2100,8590189.42614985
"620","South Asia",2020,174211957
"621","South Asia",2025,173099504.7529
"622","South Asia",2030,169915986.916607
"623","South Asia",2035,166449755.958097
"624","South Asia",2040,161184831.181599
"625","South Asia",2045,155969707.644814
"626","South Asia",2050,149227444.764696
"627","South Asia",2055,142904070.291043
"628","South Asia",2060,135442663.989992
"629","South Asia",2065,128752088.593572
"630","South Asia",2070,121421174.201314
"631","South Asia",2075,115025704.084901
"632","South Asia",2080,108264034.386301
"633","South Asia",2085,102400020.873572
"634","South Asia",2090,96341863.9451024
"635","South Asia",2095,91123400.6308213
"636","South Asia",2100,85856799.2322636
"637","South Korea",2020,9634283
"638","South Korea",2025,9054690.41394799
"639","South Korea",2030,8427156.25184139
"640","South Korea",2035,7827997.0764321
"641","South Korea",2040,7177745.78215737
"642","South Korea",2045,6570893.99845232
"643","South Korea",2050,5944914.79251808
"644","South Korea",2055,5386935.70536178
"645","South Korea",2060,4842152.60473364
"646","South Korea",2065,4373182.99889534
"647","South Korea",2070,3926046.7730422
"648","South Korea",2075,3548129.92816336
"649","South Korea",2080,3194178.59498079
"650","South Korea",2085,2898004.3189655
"651","South Korea",2090,2623219.7893032
"652","South Korea",2095,2394085.97205052
"653","South Korea",2100,2177447.03115438
"654","Southeast Asia",2020,236719860.009217
"655","Southeast Asia",2025,230527590.794033
"656","Southeast Asia",2030,221746241.598978
"657","Southeast Asia",2035,212823033.20393
"658","Southeast Asia",2040,201942299.32457
"659","Southeast Asia",2045,191608683.523376
"660","Southeast Asia",2050,179887872.241086
"661","Southeast Asia",2055,169293150.055082
"662","Southeast Asia",2060,157974094.714549
"663","Southeast Asia",2065,147976698.786372
"664","Southeast Asia",2070,137619673.136376
"665","Southeast Asia",2075,128576957.142703
"666","Southeast Asia",2080,119381117.520354
"667","Southeast Asia",2085,111440908.662116
"668","Southeast Asia",2090,103546220.347062
"669","Southeast Asia",2095,96791509.3027222
"670","Southeast Asia",2100,90169185.545929
"671","Taiwan",2020,9137641.94728666
"672","Taiwan",2025,8542410.43013662
"673","Taiwan",2030,7947178.91298657
"674","Taiwan",2035,7429770.36980346
"675","Taiwan",2040,6912361.82662034
"676","Taiwan",2045,6470404.45312614
"677","Taiwan",2050,6028447.07963194
"678","Taiwan",2055,5656815.58022727
"679","Taiwan",2060,5285184.0808226
"680","Taiwan",2065,4976392.94251095
"681","Taiwan",2070,4667601.8041993
"682","Taiwan",2075,4412908.66289191
"683","Taiwan",2080,4158215.52158451
"684","Taiwan",2085,3948720.54295249
"685","Taiwan",2090,3739225.56432046
"686","Taiwan",2095,3566673.33227508
"687","Taiwan",2100,3394121.10022969
"688","USA",2020,57683985
"689","USA",2025,56004408.2452274
"690","USA",2030,53946036.2403123
"691","USA",2035,52043748.950884
"692","USA",2040,49807396.8029431
"693","USA",2045,47814241.8965601
"694","USA",2050,45600023.6168773
"695","USA",2055,43773659.2666166
"696","USA",2060,41828704.0881762
"697","USA",2065,40210726.4128837
"698","USA",2070,38407208.1074518
"699","USA",2075,36863529.9669839
"700","USA",2080,35146675.1653895
"701","USA",2085,33666103.138231
"702","USA",2090,32073958.7739662
"703","USA",2095,30709857.3262763
"704","USA",2100,29263579.95064
